"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Laird_Technologies_97-2002_25.40x25.40mm";1;"Laird_Technologies_97-2002_25.40x25.40mm";;;
2;"C28,C29,C39";"C_0201_0603Metric";3;"5.6pF";;;
3;"C18,C19,C12,C17,C13,C14,C20,C11";"C_0201_0603Metric";8;"0.1uF";;;
4;"Cin5";"R_0805_2012Metric";1;"10uF";;;
5;"USB_C";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
6;"C34";"C_0201_0603Metric";1;"10nF";;;
7;"Cin4,C36,Cin1,C16,Cin6";"C_0201_0603Metric";5;"10uF";;;
8;"Css2";"C_0201_0603Metric";1;"33nF";;;
9;"Cout4,C47,C48";"C_0201_0603Metric";3;"22uF";;;
10;"Cout6";"C_0201_0603Metric";1;"47uF";;;
11;"Cboot4,Cinx4,C75,C49,C23,C69,C21,C67,C80,C60,C72,C55,C15,C82,C70,C63,C56,C81,C6,C57,C59,C22,C10,C53,C66,C24,C74,C83,C46,C68,C64,C27,C73,C77,C58,C61,C71,C62";"C_0201_0603Metric";38;"100nF";;;
12;"Cinx3";"R_0805_2012Metric";1;"100nF";;;
13;"Rfbt1";"R_0805_2012Metric";1;"590K";;;
14;"C38,C76,C54,C52";"C_0201_0603Metric";4;"1uF";;;
15;"C31";"C_0201_0603Metric";1;"100pF";;;
16;"L4,L2";"L_0201_0603Metric";2;"15uH";;;
17;"C37";"C_0201_0603Metric";1;"2.2pF";;;
18;"R19,R32,R35,R34,R22";"R_0201_0603Metric";5;"10K";;;
19;"TP3V3_LP";"TestPoint_Pad_D2.5mm";1;"TP_3V3_LP";;;
20;"R17,R18";"R_0805_2012Metric";2;"10K";;;
21;"U8";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"SX1262IMLTRT";;;
22;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
23;"TP19,TP12";"TestPoint_Pad_D2.0mm";2;"TestPoint";;;
24;"R21,R7,R1,R6,R33";"R_0201_0603Metric";5;"0";;;
