Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",127.000000,-63.000000,180.000000,top
"BT1","3V","Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles",122.500122,-113.705000,-90.000000,top
"BT3","3V","Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles",110.000122,-94.955000,-90.000000,top
"BT4","5V","CAP_PAS409HR-VE5R_TAY",94.183400,-110.987300,0.000000,top
"C1","100nF","C_0402_1005Metric",177.630000,-84.600000,180.000000,top
"C2","100nF","C_0402_1005Metric",186.730000,-105.925000,180.000000,top
"C3","100nF","C_0402_1005Metric",180.750000,-73.300000,180.000000,top
"C4","100nF","C_0805_2012Metric",188.200000,-107.600000,0.000000,top
"C5","22pF","C_0201_0603Metric",150.080000,-63.217500,90.000000,top
"C6","100nF","C_0201_0603Metric",141.630000,-61.980000,90.000000,top
"C10","100nF","C_0201_0603Metric",168.100000,-109.000000,90.000000,top
"C11","0.1uF","C_0201_0603Metric",159.100000,-118.275000,180.000000,top
"C12","0.1uF","C_0201_0603Metric",159.105000,-117.475000,180.000000,top
"C13","0.1uF","C_0201_0603Metric",159.175000,-116.650000,180.000000,top
"C14","0.1uF","C_0201_0603Metric",159.195000,-115.825000,180.000000,top
"C15","100nF","C_0201_0603Metric",149.710000,-119.390000,180.000000,top
"C16","10uF","C_0201_0603Metric",162.675000,-131.875000,180.000000,top
"C17","0.1uF","C_0201_0603Metric",157.475000,-118.350000,180.000000,top
"C18","0.1uF","C_0201_0603Metric",157.455000,-117.450000,180.000000,top
"C19","0.1uF","C_0201_0603Metric",157.455000,-116.500000,180.000000,top
"C20","0.1uF","C_0201_0603Metric",157.475000,-115.650000,180.000000,top
"C21","100nF","C_0201_0603Metric",153.080000,-63.217500,90.000000,top
"C22","100nF","C_0201_0603Metric",152.080000,-63.217500,90.000000,top
"C23","100nF","C_0201_0603Metric",147.470000,-67.670000,180.000000,top
"C24","100nF","C_0201_0603Metric",145.975000,-68.170000,180.000000,top
"C25","470nF","C_0201_0603Metric",147.755000,-64.217500,90.000000,top
"C26","4.7uF","C_0201_0603Metric",153.855000,-64.850000,90.000000,top
"C27","100nF","C_0201_0603Metric",154.630000,-64.875000,90.000000,top
"C28","5.6pF","C_0201_0603Metric",155.110000,-67.660000,0.000000,top
"C29","5.6pF","C_0201_0603Metric",155.120000,-66.880000,0.000000,top
"C30","470nF","C_0201_0603Metric",156.400000,-67.310000,90.000000,top
"C31","100pF","C_0201_0603Metric",158.587500,-65.892500,-90.000000,top
"C32","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.962500,-122.000000,180.000000,top
"C33","100nF","C_0805_2012Metric",91.962500,-119.500000,180.000000,top
"C34","10nF","C_0201_0603Metric",89.770000,-112.950000,0.000000,top
"C35","4.7uF","C_1206_3216Metric",91.462500,-116.500000,0.000000,top
"C36","10uF","C_0201_0603Metric",90.250000,-109.000000,0.000000,top
"C37","2.2pF","C_0201_0603Metric",156.190000,-65.860000,90.000000,top
"C38","1uF","C_0201_0603Metric",156.040000,-64.220000,-90.000000,top
"C39","5.6pF","C_0201_0603Metric",157.737500,-65.892500,90.000000,top
"C40","3.3pF","C_0201_0603Metric",160.862500,-65.942500,-90.000000,top
"C41","470nF","C_0402_1005Metric",172.460000,-66.690000,180.000000,top
"C42","0","C_0402_1005Metric",174.390000,-65.230000,-90.000000,top
"C43","0","C_0402_1005Metric",175.410000,-65.230000,-90.000000,top
"C44","1nF","C_0201_0603Metric",166.180000,-69.622500,90.000000,top
"C45","1nF","C_0201_0603Metric",163.230000,-63.840000,90.000000,top
"C46","100nF","C_0201_0603Metric",92.600000,-89.155000,-90.000000,top
"C47","22uF","C_0201_0603Metric",93.945000,-86.000000,0.000000,top
"C48","22uF","C_0201_0603Metric",93.600000,-85.000000,0.000000,top
"C49","100nF","C_0201_0603Metric",93.225000,-83.900000,0.000000,top
"C50","100nF","C_0805_2012Metric",162.725000,-129.875000,180.000000,top
"C51","10pF","C_0201_0603Metric",91.600000,-84.000000,0.000000,top
"C52","1uF","C_0201_0603Metric",149.600000,-106.345000,90.000000,top
"C53","100nF","C_0201_0603Metric",160.600000,-94.000000,180.000000,top
"C54","1uF","C_0201_0603Metric",160.755000,-90.000000,0.000000,top
